timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733240883492,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-39,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240883496,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-39,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240883653,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-40,text,true,,4545,121,1,2,http://localhost:8080/users,5,0,1
1733240883659,3,[Post] HTTP Request,200,,[Full Test] Thread Group 4-40,text,true,,228,233,1,1,http://localhost:8080/users,3,0,0
1733240883663,3,[Put] HTTP Request,200,,[Full Test] Thread Group 4-40,text,true,,237,244,1,1,http://localhost:8080/users/1,3,0,0
1733240883886,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-41,text,true,,4657,121,1,2,http://localhost:8080/users,5,0,1
1733240883891,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-41,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240883896,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-41,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240884086,7,[Get] HTTP Request,200,,[Full Test] Thread Group 4-42,text,true,,4825,121,1,1,http://localhost:8080/users,7,0,1
1733240884093,5,[Post] HTTP Request,200,,[Full Test] Thread Group 4-42,text,true,,228,233,1,1,http://localhost:8080/users,5,0,0
1733240884098,7,[Put] HTTP Request,200,,[Full Test] Thread Group 4-42,text,true,,237,244,1,1,http://localhost:8080/users/1,7,0,0
1733240884286,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-43,text,true,,4937,121,1,1,http://localhost:8080/users,6,0,1
1733240884293,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-43,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240884298,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-43,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240884486,5,[Get] HTTP Request,200,,[Full Test] Thread Group 4-44,text,true,,5049,121,1,1,http://localhost:8080/users,5,0,1
1733240884492,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-44,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240884496,5,[Put] HTTP Request,200,,[Full Test] Thread Group 4-44,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240884686,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-45,text,true,,5161,121,1,1,http://localhost:8080/users,6,0,2
1733240884692,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-45,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
1733240884697,4,[Put] HTTP Request,200,,[Full Test] Thread Group 4-45,text,true,,237,244,1,1,http://localhost:8080/users/1,4,0,0
1733240884886,6,[Get] HTTP Request,200,,[Full Test] Thread Group 4-46,text,true,,5273,121,1,1,http://localhost:8080/users,6,0,1
1733240884892,4,[Post] HTTP Request,200,,[Full Test] Thread Group 4-46,text,true,,228,233,1,1,http://localhost:8080/users,4,0,0
